0000,0000,0000
0000,0100,0000
0000,0200,0000
0000,0800,0000
0000,1000,0000
0000,2000,0000
0000,2800,0000
0000,3000,0000
0000,3800,0000
0000,3c00,0000
0000,4000,0000
0000,4400,0000
0000,4800,0000
0000,5000,0000
0000,5800,0000
0000,6000,0000
0000,6800,0000
0000,6fde,0000
0000,7000,0000
0000,7800,0000
0000,7f00,0000
0000,8000,8000
0000,b000,0000
0000,b800,0000
0000,c000,0000
0000,d000,0000
001b,876a,9f46
0051,fdf6,f5a3
0058,2bc6,0a13
0064,4882,0ee4
0065,10ff,0933
006c,524f,1495
009c,e488,f7e1
00c5,2e42,0813
00c9,c700,f4df
00ce,7ad4,65c9
00ce,ae6b,ed4a
00d4,3453,0aaa
00ee,2a14,099a
0100,0000,0000
0100,0100,0800
0100,0200,0800
0100,0800,0800
0100,1000,0800
0100,2000,0800
0100,2800,0a00
0100,3000,0800
0100,3800,0a00
0100,3c00,0b00
0100,4000,0800
0100,4400,0900
0100,4800,0a00
0100,5000,0c00
0100,5800,0e00
0100,6000,1000
0100,6800,1800
0100,7000,2000
0100,7800,4000
0100,7f00,4000
0100,8000,8000
0100,b000,f400
0100,b800,f600
0100,c000,f800
0100,d000,f800
0113,804f,a3de
011e,0ad7,0838
0123,144e,0bd5
012b,9a37,e6cb
0132,7388,34f2
0134,1fb5,0985
0136,d5af,f753
0140,b7bf,f374
0147,aa21,ef81
014d,41e4,0b29
0155,78bc,5232
015b,efd2,f501
015e,6e11,2864
0166,0163,0a5f
0172,913e,d41a
0180,60b9,18b9
018b,4579,0dd4
0192,4d2c,1051
01a3,33d0,0a4e
01a7,9100,cc6e
01aa,f75a,f5d4
01b1,7538,4cdc
01cf,5fa5,1cca
01d1,9c67,dd12
01e5,3cda,0e73
01f1,c8e3,f290
0200,0000,0000
0200,0100,0800
0200,0200,0800
0200,0800,0800
0200,1000,0800
0200,2000,0800
0200,2800,0a00
0200,3000,0800
0200,3800,0a00
0200,3c00,0b00
0200,4000,0800
0200,4400,0900
0200,4800,0a00
0200,5000,0c00
0200,5800,0e00
0200,6000,1000
0200,6800,1800
0200,7000,2000
0200,7800,4000
0200,7f00,4000
0200,8000,8000
0200,b000,f400
0200,b800,f600
0200,c000,f800
0200,d000,f800
0202,928a,e270
0208,2171,087e
0209,b8ca,f5ff
020a,b947,f61a
020f,57fd,0e58
0214,dd8e,f708
0225,ee1b,f657
0230,56bf,0ec0
0232,7b43,5f30
0242,fd82,f47f
024b,5f40,1219
0263,05f6,097e
026a,3657,0be5
0272,4634,0c02
0276,7e12,4aa8
0289,e56a,f7f0
0295,f75f,f4ae
0296,0e10,08ce
029b,9a0d,e4ce
02ec,e824,f462
0302,5ed5,1788
0315,29c6,0af8
0318,4d4b,1002
0322,1149,0942
0339,65ba,20c8
033e,ed87,f57f
036e,38b8,0c6a
038f,1588,0945
03a7,a0a0,e30b
03b1,7056,3d54
03b1,7a22,666e
03b5,1713,0a6e
03bb,e91f,f591
03d6,bbe8,eec7
03ee,e3e7,f62a
03ef,4603,12a3
03ef,e101,f4c1
03f4,21ee,0860
0408,4550,0969
0412,784f,431e
0417,d89f,f5e5
0418,7b9f,5e52
041b,7948,4ba2
041f,4da7,0bdc
0428,5b8b,0f6c
044c,7253,2d0c
044f,052f,0b59
044f,60fd,1260
046e,e357,f450
046f,7810,4412
0488,39c3,0813
0492,bdcf,f629
0493,1fe6,091d
0499,ad7b,f1fd
04c4,2184,0a0e
04d3,17c0,098f
04e8,a5dc,ee81
04ff,c22e,f66b
0518,5178,0ec1
0531,da87,f7b8
053b,aa8d,ef58
0541,3027,0a91
0543,eb37,f6ca
054b,add7,f087
0559,beb7,f4c5
055e,3a08,097a
0562,f52b,f639
0591,77e9,4c34
0599,0b82,0ac0
059d,6607,1cab
05a9,c5a2,f5f8
05b1,d94a,f6c3
05b9,9df5,e6a8
05f9,5e76,1720
05fc,5435,120f
0608,f00d,f7f7
060b,f19c,f579
060f,ddff,f75f
0610,f474,f438
0615,ffda,f647
061e,7e70,5fc2
0622,aa6a,ec7e
0636,4917,0eee
0657,634b,1d36
0667,4ca4,1099
066d,b724,f077
066f,9b2f,e068
068a,d87f,f48b
068b,c868,f481
0693,8535,999f
06ad,7935,6094
06b6,0ec4,0895
06be,2598,0b66
06c2,6c3c,30de
06cd,673c,2554
06dd,128c,0b8c
06e8,36ce,0c24
06ee,d71a,f771
06f1,db43,f461
0701,c1c6,f254
072c,802b,97ad
0759,bf05,f0e6
075e,0413,0afb
077c,5545,1943
0787,5d36,1ce1
0798,912e,c560
079c,dc4d,f78f
07a1,81f7,a0ee
07ab,797a,64c0
07b1,08fb,0898
07b5,21ee,0827
07b8,2066,0b9f
07b8,c5b8,f1e5
07c8,a0e3,e14c
07cc,8ed1,bc52
07e2,053b,0a45
07f3,96de,cdf8
07ff,07ff,0bfc
07ff,0800,0bfe
07ff,0801,0bff
07ff,0bff,0bfd
07ff,0c00,0bfe
07ff,0c01,0bff
07ff,0fff,0bfd
07ff,1000,0bfe
07ff,1001,0bfe
07ff,17ff,0bfd
07ff,1800,0bfe
07ff,1801,0bfe
07ff,1fff,0bfd
07ff,2000,0bfe
07ff,2001,0bfe
07ff,2fff,0bfd
07ff,3000,0bfe
07ff,3001,0bfe
07ff,3fff,0ffd
07ff,4000,0ffe
07ff,4001,0ffe
07ff,4fff,17fb
07ff,5000,17fc
07ff,5001,17fc
07ff,5fff,1ffb
07ff,6000,1ffc
07ff,6001,1ffd
07ff,67ff,2ff6
07ff,6800,2ff8
07ff,6801,2ffa
07ff,6fff,3ff6
07ff,7000,3ff8
07ff,7001,3ffe
07ff,73ff,4ff4
07ff,7400,4ff8
07ff,7401,4ffe
07ff,7eff,6fec
07ff,7f00,5ff8
07ff,7f01,601d
0800,0000,0000
0800,0100,0800
0800,0200,0800
0800,07ff,0bfe
0800,0800,0800
0800,0801,0801
0800,0bff,0bff
0800,0c00,0800
0800,0c01,0801
0800,0fff,0bff
0800,1000,0800
0800,1001,0800
0800,17ff,0bff
0800,1800,0800
0800,1801,0800
0800,1fff,0bff
0800,2000,0800
0800,2001,0800
0800,2800,0a00
0800,2fff,0bff
0800,3000,0800
0800,3001,0800
0800,3800,0a00
0800,3c00,0b00
0800,3fff,0bff
0800,4000,0800
0800,4001,0800
0800,4400,0900
0800,4800,0a00
0800,4fff,0bff
0800,5000,0c00
0800,5001,0c00
0800,5800,0e00
0800,5fff,0fff
0800,6000,1000
0800,6001,1001
0800,67ff,17ff
0800,6800,1800
0800,6801,1801
0800,6fff,1fff
0800,7000,2000
0800,7001,2004
0800,73ff,2ffc
0800,7400,3000
0800,7401,3004
0800,7800,4000
0800,7eff,5fe0
0800,7f00,4000
0800,7f01,4040
0800,8000,8000
0800,b000,f400
0800,b800,f600
0800,c000,f800
0800,d000,f800
0801,07ff,0bff
0801,0800,0801
0801,0801,0802
0801,0bff,0800
0801,0c00,0801
0801,0c01,0802
0801,0fff,0800
0801,1000,0801
0801,1001,0801
0801,17ff,0800
0801,1800,0801
0801,1801,0801
0801,1fff,0800
0801,2000,0801
0801,2001,0801
0801,2fff,0800
0801,3000,0801
0801,3001,0801
0801,3fff,0800
0801,4000,0801
0801,4001,0801
0801,4fff,0c00
0801,5000,0c01
0801,5001,0c01
0801,5fff,1001
0801,6000,1002
0801,6001,1003
0801,67ff,1801
0801,6800,1802
0801,6801,1803
0801,6fff,2002
